state_name,county_name,trump,biden,other,population_2010,persons_under_5_years_percent_2014,persons_under_18_years_percent_2014,age_65_plus,female_persons_percent_2014,living_in_same_house_1_year__over_percent_20092013,foreign_born_persons_percent_20092013,non_english,edu_highschool,edu_batchelors,veterans_20092013,mean_travel_time_to_work_minutes_workers_age_16_20092013,housing_units_2014,homeownership_rate_20092013,housing_units_in_multiunit_structures_percent_20092013,median_value_of_owneroccupied_housing_units_20092013,households_20092013,persons_per_household_20092013,income,median_household_income_20092013,poverty,private_nonfarm_establishments_2013,private_nonfarm_employment__2013,private_nonfarm_employment_percent_change_20122013,nonemployer_establishments_2013,total_number_of_firms_2007,womenowned_firms_percent_2007,manufacturers_shipments_2007_1000,merchant_wholesaler_sales_2007_1000,retail_sales_2007_1000,retail_sales_per_capita_2007,accommodation_and_food_services_sales_2007_1000,building_permits_2014,land_area_in_square_miles_2010,density
Montana,Chouteau County,1888,988,91,5813.0,3.8,24.5,18.1,50.6,91.2,1.6,2.6,91.1,22.9,574.0,17.5,2858.0,62.3,6.0,114200.0,2228.0,2.53,21737.0,40070.0,21.7,160.0,761.0,5.3,365.0,674.0,0.0,0.0,38357.0,44696.0,8576.0,3802.0,4.0,3972.49,1.5
Montana,Custer County,4205,1514,164,11699.0,6.3,22.1,18.7,50.0,80.7,2.1,4.5,90.9,19.7,1178.0,14.2,5622.0,68.9,12.7,112100.0,4986.0,2.28,23910.0,43524.0,13.3,434.0,4445.0,1.2,838.0,1005.0,21.9,0.0,75061.0,199923.0,17987.0,22098.0,3.0,3783.36,3.1
Montana,Daniels County,799,195,20,1751.0,5.6,21.0,25.2,49.7,88.6,2.4,4.1,94.4,22.9,178.0,9.8,1115.0,75.2,5.7,96800.0,890.0,1.96,31449.0,46100.0,10.1,71.0,0.0,0.0,140.0,179.0,0.0,0.0,9863.0,26586.0,15806.0,1027.0,1.0,1426.11,1.2
Montana,Dawson County,3758,962,117,8966.0,6.5,22.3,16.8,48.6,84.0,1.0,1.4,89.3,18.1,825.0,18.3,4359.0,70.3,16.1,122200.0,3885.0,2.21,26126.0,50405.0,16.0,343.0,2985.0,7.3,602.0,521.0,0.0,0.0,107556.0,118284.0,13784.0,21216.0,30.0,2371.87,3.8
Montana,Deer Lodge County,2186,2562,143,9298.0,4.0,16.2,20.7,46.6,84.5,1.6,2.4,89.1,18.1,1227.0,20.2,5121.0,72.7,12.7,117800.0,3855.0,2.17,22052.0,38958.0,20.5,248.0,2727.0,0.5,459.0,756.0,0.0,0.0,0.0,71477.0,8067.0,16363.0,5.0,736.53,12.6
Montana,Fallon County,1375,172,28,2890.0,7.8,25.9,15.7,48.7,83.0,0.9,1.3,92.7,16.1,220.0,12.0,1529.0,72.0,5.2,106700.0,1199.0,2.53,28563.0,51164.0,5.9,159.0,1293.0,6.4,329.0,520.0,0.0,0.0,32883.0,26323.0,9926.0,4002.0,25.0,1620.77,1.8
Montana,Fergus County,4869,1496,166,11586.0,5.1,20.4,23.0,49.7,86.9,1.4,3.5,92.3,25.5,1233.0,14.3,5809.0,74.4,11.0,113800.0,4924.0,2.24,24429.0,38344.0,13.8,433.0,3337.0,1.4,1071.0,1454.0,30.7,0.0,400247.0,135416.0,12093.0,14146.0,1.0,4339.8,2.7
Montana,Flathead County,38321,20274,1663,90928.0,5.8,22.5,17.2,50.2,90.0,2.0,3.0,93.8,28.4,8688.0,18.6,47362.0,71.0,15.1,228100.0,36901.0,2.45,25790.0,46581.0,14.2,3872.0,33284.0,6.3,9930.0,13592.0,24.2,919447.0,863649.0,1581348.0,18135.0,232886.0,233.0,5087.66,17.9
Montana,Gallatin County,31696,37044,2767,89513.0,5.8,20.5,11.2,48.6,75.2,2.7,4.2,96.1,46.0,5744.0,16.8,44870.0,61.8,28.2,261900.0,36973.0,2.36,28939.0,52833.0,14.1,4962.0,38950.0,4.1,11075.0,14742.0,23.7,512617.0,508818.0,1791758.0,20524.0,325789.0,1191.0,2602.69,34.4
Montana,Garfield County,764,41,8,1206.0,5.7,22.9,22.6,50.1,88.8,0.2,1.3,91.7,13.0,97.0,10.6,848.0,76.3,2.0,113300.0,465.0,2.44,25921.0,45096.0,10.5,28.0,144.0,0.7,135.0,0.0,0.0,0.0,0.0,10240.0,8583.0,647.0,0.0,4675.36,0.3
